iterate,first_calc,pruning,all
16,9.44,0.50,9.94
6,5.17,0.17,5.34
9,7.38,0.25,7.63
13,8.71,0.42,9.13
12,9.65,0.35,10.00
15,10.33,0.49,10.82
6,7.72,0.18,7.91
9,6.66,0.26,6.92
16,11.20,0.50,11.70
14,7.94,0.41,8.35
13,5.01,0.36,5.37
16,11.02,0.42,11.44
12,8.95,0.36,9.31
15,8.04,0.44,8.48
9,7.15,0.28,7.43
9,8.51,0.31,8.82
11,9.27,0.38,9.65
9,7.58,0.27,7.85
12,7.14,0.35,7.50
11,7.71,0.34,8.05
7,6.19,0.21,6.40
8,5.47,0.24,5.71
10,7.39,0.28,7.67
15,7.84,0.44,8.28
8,4.27,0.22,4.49
15,8.51,0.43,8.94
16,8.27,0.47,8.73
6,4.80,0.18,4.99
20,12.04,0.48,12.53
15,6.84,0.37,7.21
6,4.48,0.14,4.62
7,4.73,0.16,4.89
19,9.04,0.63,9.67
8,6.25,0.24,6.49
9,5.17,0.27,5.44
17,6.54,0.48,7.02
16,6.92,0.36,7.29
10,6.53,0.23,6.77
13,6.05,0.31,6.36
14,6.62,0.35,6.96
9,5.32,0.25,5.57
12,6.39,0.33,6.72
12,6.89,0.35,7.23
9,5.21,0.25,5.46
12,8.75,0.38,9.13
11,6.67,0.31,6.98
14,8.27,0.41,8.68
14,8.96,0.42,9.38
16,9.59,0.50,10.10
11,7.57,0.34,7.91
14,7.51,0.42,7.93
12,6.66,0.34,7.00
11,7.20,0.31,7.52
9,7.94,0.26,8.21
13,8.43,0.39,8.82
13,9.72,0.37,10.08
12,6.10,0.33,6.43
14,9.80,0.38,10.18
4,6.35,0.14,6.49
16,7.73,0.44,8.17
14,7.42,0.41,7.83
12,9.16,0.38,9.54
12,8.32,0.36,8.68
13,7.08,0.39,7.47
13,9.37,0.40,9.77
8,6.56,0.26,6.81
6,5.03,0.17,5.20
13,7.90,0.38,8.27
12,6.32,0.38,6.70
15,6.43,0.46,6.90
9,6.40,0.28,6.68
6,5.40,0.19,5.59
10,7.90,0.29,8.19
8,4.82,0.23,5.05
11,8.70,0.38,9.08
12,6.50,0.36,6.86
6,5.28,0.18,5.45
11,5.46,0.31,5.77
12,7.40,0.38,7.78
7,5.25,0.20,5.45
7,7.11,0.22,7.33
17,6.73,0.48,7.21
5,4.88,0.15,5.03
8,4.50,0.23,4.73
12,5.60,0.34,5.94
15,8.81,0.42,9.24
13,6.54,0.38,6.92
11,6.37,0.31,6.68
15,9.19,0.46,9.64
7,6.88,0.20,7.08
12,6.14,0.34,6.48
7,7.31,0.21,7.52
7,4.65,0.18,4.82
12,10.47,0.37,10.85
13,6.06,0.35,6.42
12,7.66,0.34,8.00
11,6.47,0.33,6.80
6,3.39,0.16,3.55
8,7.01,0.28,7.28
15,8.75,0.46,9.21
