iterate,first_calc,pruning,all
43,25.18,6.11,31.28
51,37.67,20.22,57.89
63,33.92,10.45,44.37
54,28.43,4.78,33.21
54,38.30,17.00,55.30
45,22.67,2.63,25.30
62,47.29,22.77,70.06
58,37.14,12.70,49.84
46,28.09,6.34,34.43
42,18.08,2.15,20.22
54,40.57,17.07,57.63
43,25.20,6.69,31.88
47,27.08,3.21,30.29
55,35.34,13.88,49.22
48,30.29,7.89,38.19
41,17.74,1.80,19.54
48,35.06,16.87,51.93
50,28.77,6.99,35.75
54,24.36,6.06,30.42
58,44.91,20.73,65.63
43,25.45,4.10,29.55
48,24.99,3.63,28.63
40,17.63,2.05,19.68
46,28.87,4.57,33.44
40,17.29,1.76,19.06
47,27.79,4.80,32.59
60,40.03,13.85,53.88
48,35.45,11.75,47.20
42,27.54,5.64,33.18
43,22.23,3.58,25.81
48,31.37,10.53,41.90
48,26.18,6.43,32.61
57,55.92,28.10,84.02
59,56.93,30.78,87.71
49,29.67,6.44,36.11
45,25.66,4.00,29.67
50,30.74,5.64,36.39
50,27.17,6.64,33.82
48,31.46,7.05,38.51
56,42.91,19.44,62.35
52,30.86,5.27,36.13
39,25.80,5.23,31.03
66,57.13,25.98,83.10
50,30.24,7.96,38.20
59,44.98,23.18,68.16
46,23.75,3.38,27.13
53,30.36,5.97,36.33
50,25.17,5.21,30.38
60,45.55,19.32,64.87
54,29.44,6.22,35.66
44,22.73,5.77,28.49
55,33.32,12.54,45.86
38,15.78,1.37,17.16
49,27.68,5.27,32.95
45,30.86,5.04,35.90
54,31.78,8.17,39.95
57,30.23,6.09,36.32
40,26.61,5.61,32.22
50,27.40,7.42,34.82
66,41.96,15.00,56.95
46,27.79,7.92,35.71
52,28.44,9.33,37.77
42,22.30,2.44,24.73
40,25.12,7.17,32.29
46,33.91,15.34,49.25
49,25.67,5.05,30.72
39,23.18,4.83,28.01
46,31.71,13.18,44.89
54,41.08,15.42,56.50
53,33.30,12.42,45.72
43,21.75,3.06,24.81
49,28.79,10.21,39.00
41,16.11,1.32,17.43
58,29.43,10.40,39.83
42,21.48,4.31,25.79
48,34.57,13.68,48.25
52,27.85,7.65,35.49
60,30.75,11.41,42.16
48,25.04,7.39,32.43
61,39.41,13.81,53.21
57,33.40,13.49,46.89
55,29.29,11.32,40.61
51,25.87,5.95,31.82
41,25.48,4.23,29.71
48,22.86,2.95,25.81
50,40.70,18.40,59.10
49,32.61,6.51,39.12
42,24.55,5.64,30.19
45,26.46,6.04,32.50
48,25.22,4.44,29.66
49,30.70,12.91,43.61
54,29.22,8.77,38.00
42,20.89,2.83,23.72
54,34.68,13.14,47.82
57,27.82,8.60,36.42
46,24.61,2.57,27.18
38,19.03,2.89,21.92
48,19.95,2.19,22.14
54,37.19,12.63,49.82
43,27.08,5.24,32.33
