Creating_DIST,Creating_TD,iterate_count,add-prune,all
3.41,7.38,4,0.72,12.79
1.25,4.65,0,0.28,7.48
1.17,4.48,2,0.37,7.32
2.02,5.69,2,0.53,9.53
1.69,5.35,2,0.46,8.78
4.93,8.96,1,0.76,15.97
1.35,4.02,4,0.39,6.77
1.02,3.76,2,0.34,6.14
5.54,8.26,5,0.91,15.75
1.72,5.35,1,0.47,8.80
1.17,4.35,1,0.37,7.15
3.02,7.39,4,0.62,12.30
1.39,4.86,5,0.46,8.00
1.93,5.59,3,0.53,9.36
1.18,4.39,0,0.35,7.20
1.88,5.63,5,0.58,9.37
4.31,8.12,3,0.69,14.45
1.85,5.56,2,0.57,9.30
1.14,4.08,1,0.41,6.83
1.87,5.34,2,0.52,8.89
1.04,5.01,1,0.41,7.66
1.56,5.28,1,0.41,8.53
1.47,4.93,2,0.31,8.03
2.17,5.97,2,0.48,9.92
0.79,3.62,0,0.26,5.92
1.73,5.39,2,0.48,8.87
1.62,5.12,0,0.36,8.37
0.90,4.24,0,0.24,6.59
2.71,6.50,4,0.85,11.32
2.43,6.41,3,0.60,10.72
2.77,9.63,0,0.67,16.36
2.69,9.32,1,0.74,16.13
11.33,19.37,3,1.62,35.66
8.45,16.54,1,1.24,29.52
3.64,11.07,0,0.87,18.95
5.54,14.09,0,1.25,24.33
4.29,14.91,2,1.33,23.86
2.65,9.61,1,0.79,16.32
3.73,11.47,1,0.97,19.51
4.97,12.88,3,1.21,22.40
4.99,12.70,1,0.77,21.78
5.08,12.73,4,1.78,23.03
5.66,13.76,1,1.27,24.17
2.27,8.80,0,0.63,15.09
7.10,15.28,3,1.28,27.15
3.93,11.40,0,0.84,19.48
6.75,15.18,3,1.28,26.53
6.73,15.40,4,1.29,26.74
2.90,7.33,4,0.82,12.31
1.99,6.11,3,0.38,9.74
2.21,6.60,1,0.49,10.59
1.46,5.13,2,0.42,8.28
1.67,5.43,0,0.42,8.86
1.20,4.42,2,0.41,7.30
2.43,6.37,3,0.55,10.63
2.08,5.87,3,0.65,9.91
1.26,4.54,1,0.39,7.46
3.01,7.05,3,0.64,11.99
1.20,4.71,2,0.38,7.55
1.58,5.22,2,0.50,8.60
2.31,6.61,2,0.43,10.64
2.88,6.62,4,0.50,11.29
2.11,5.79,3,0.57,9.74
1.33,4.58,0,0.30,7.47
2.74,6.64,1,0.63,11.28
1.48,4.83,1,0.36,7.93
1.11,4.13,0,0.31,6.85
1.25,4.55,2,0.48,7.55
2.15,5.73,4,0.65,9.85
2.35,6.06,1,0.55,10.24
1.44,4.70,4,0.43,7.81
1.15,4.04,4,0.33,6.73
1.70,6.49,1,0.38,9.84
0.74,3.00,0,0.22,5.01
3.02,5.93,8,0.64,10.65
1.23,5.02,0,0.39,7.77
0.99,3.75,1,0.25,6.14
0.84,3.49,1,0.26,5.75
2.15,5.59,3,0.53,9.43
1.43,4.47,0,0.34,7.41
1.44,4.58,1,0.35,7.54
1.20,4.17,4,0.43,6.94
0.98,3.77,0,0.26,6.12
0.78,3.80,0,0.26,5.89
1.58,4.89,1,0.41,8.09
1.76,4.53,1,0.35,7.73
1.34,4.37,2,0.41,7.31
1.10,3.55,2,0.46,6.20
2.43,5.20,1,0.43,9.13
1.23,4.39,6,0.38,7.20
1.81,5.17,2,0.39,8.57
1.58,4.84,3,0.47,8.08
0.89,3.50,1,0.25,5.70
5.08,8.34,5,0.72,15.34
1.22,3.81,1,0.35,6.44
1.83,4.57,6,0.51,8.00
1.45,4.62,0,0.40,7.65
0.92,3.61,1,0.26,5.98
2.79,6.18,1,0.51,10.68
2.98,5.91,2,0.57,10.53
