Creating_DIST,Creating_TD,iterate_count,add-prune,all
679.45,101.17,7,13.42,795.24
3254.27,213.54,12,59.77,3528.98
1341.53,141.22,4,39.35,1523.58
1653.14,221.97,11,25.19,1904.46
10987.48,879.25,14,165.89,12037.34
404.96,115.75,6,10.81,535.29
6905.36,591.63,4,158.55,7657.11
2292.67,254.52,6,73.33,2622.10
1145.66,136.83,4,29.27,1313.24
106.64,37.49,6,3.68,149.10
3591.44,243.95,11,62.12,3899.17
371.61,65.96,4,7.44,446.37
288.47,62.11,7,6.47,358.34
1798.08,147.46,3,47.79,1994.84
837.30,116.14,12,14.21,969.07
57.45,34.99,3,2.41,96.12
2678.79,233.67,6,40.87,2954.91
594.35,84.91,4,15.48,696.13
239.57,61.57,1,7.21,310.93
4899.94,275.63,8,95.44,5272.77
337.89,73.05,5,7.15,419.51
236.34,59.56,5,6.21,303.43
84.40,36.35,2,2.64,124.69
694.91,107.12,10,16.31,819.80
53.71,28.75,2,3.00,86.90
527.37,88.30,10,12.07,629.15
2844.74,205.22,6,44.17,3095.76
1513.90,160.88,12,27.02,1703.37
445.94,83.30,3,10.20,540.84
268.58,63.52,7,6.24,339.83
1046.83,128.77,7,18.11,1195.23
532.62,90.93,4,12.70,637.71
10189.87,530.51,17,115.89,10838.26
9391.80,486.63,5,164.25,10044.67
891.95,122.70,6,19.46,1035.65
465.36,84.64,6,10.00,561.46
590.70,87.04,3,11.85,691.05
377.49,102.60,2,10.89,492.41
603.84,96.68,9,12.69,714.68
3620.77,240.52,15,65.95,3928.90
426.18,89.49,3,13.14,530.25
420.42,79.45,6,9.21,510.51
8127.16,549.57,4,190.35,8868.95
765.89,108.54,4,14.74,890.62
4425.28,262.91,5,95.00,4784.99
278.33,63.11,4,6.42,349.26
425.10,82.81,5,10.04,519.39
399.65,101.26,13,11.70,514.06
4995.39,353.63,4,152.23,5503.01
545.14,89.55,8,10.64,646.87
413.47,79.31,6,10.25,504.45
1863.76,165.27,8,30.56,2061.14
65.61,31.74,3,2.60,101.28
255.27,60.26,4,6.77,323.46
544.57,93.34,7,10.12,649.47
780.43,115.63,9,14.50,912.05
540.07,92.33,3,15.18,649.06
903.36,116.93,12,14.32,1036.12
777.95,114.95,6,18.53,912.93
3312.98,248.15,4,111.32,3674.16
642.93,99.10,2,20.50,764.02
789.63,112.78,4,20.67,924.59
186.12,58.06,7,6.16,251.75
637.19,103.02,5,16.07,758.91
1892.88,198.46,5,38.74,2131.69
540.48,93.07,4,15.53,650.48
401.06,78.96,3,13.62,495.11
2025.56,177.95,5,42.51,2247.71
3983.79,278.47,11,69.32,4333.34
1998.37,169.25,4,44.42,2213.67
182.33,44.30,3,4.04,231.84
1337.81,139.35,5,28.13,1506.67
25.28,17.93,2,1.71,46.10
950.19,128.08,2,21.45,1101.07
296.24,63.99,2,7.80,369.29
2325.11,227.04,9,53.30,2606.93
935.93,120.65,2,23.68,1081.61
1724.06,160.60,9,38.67,1924.76
567.20,82.44,7,15.38,666.34
2669.27,251.62,1,76.96,2999.30
1856.94,152.34,6,37.15,2047.89
1337.83,131.58,2,22.78,1493.56
724.28,107.96,5,16.43,850.00
314.72,66.75,6,7.59,390.31
323.83,107.58,1,8.36,443.39
6993.94,773.34,8,109.68,7881.38
985.34,181.94,7,22.28,1193.27
1753.10,240.61,6,44.53,2042.05
2023.25,301.11,13,28.43,2356.59
1171.83,202.26,7,19.51,1397.29
4328.53,377.42,2,117.97,4827.95
3374.16,359.33,9,45.03,3782.49
436.10,118.71,4,8.97,567.34
5496.96,649.51,12,80.27,6231.02
2868.59,302.14,6,41.22,3215.89
455.93,122.72,9,13.41,595.65
391.35,109.21,5,13.85,517.97
301.85,106.01,7,9.21,420.71
5234.92,532.80,9,72.93,5844.98
1407.32,218.13,6,19.11,1648.27
